IPLAN	ICURSO	IATRIBUTO	BACTIVO	VALOR	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
0.100	CP40MOD095	3	1	MINI_DESCRIP_COMPLETA_VER				2026-04-14T10:00:32.033Z				2026-04-14T10:00:32.033Z
0.100	CP40MOD095	4	1	M				2026-04-14T10:00:32.353Z				2026-04-14T10:00:32.353Z
1.1	ACT-TRIB23	3	1	IMG_GRANDE_INFOPROFESOR				2026-04-29T17:27:42.786Z				2026-04-29T17:27:42.786Z
1.1	AW40MOD100	3	1	FULL_NOMBRE_DESCRIPCION				2026-04-23T22:59:51.003Z				2026-04-23T22:59:51.003Z
1.1	AW40MOD100	4	1	B				2026-04-23T22:59:51.006Z				2026-04-23T22:59:51.006Z
1.1	AW40MOD120	3	1	FULL_NOMBRE_DESCRIPCION				2026-05-05T07:05:49.600Z				2026-05-05T07:05:49.600Z
1.1	AW40MOD120	4	1	B				2026-05-05T07:05:49.603Z				2026-05-05T07:05:49.603Z
1.1	AW40MOD130	3	1	FULL_NOMBRE_DESCRIPCION				2026-05-05T07:23:53.960Z				2026-05-05T07:23:53.960Z
1.1	AW40MOD130	4	1	B				2026-05-05T07:23:53.963Z				2026-05-05T07:23:53.963Z
1.1	CP40MOD096	3	1	FULL_NOMBRE_DESCRIPCION				2026-04-14T10:00:32.033Z				2026-04-14T10:00:32.033Z
1.1	CP40MOD096	4	1	B				2026-04-14T10:00:32.353Z				2026-04-14T10:00:32.353Z
1.10	AW40MOD100	3	1	MINI_DESCRIP_COMPLETA_VER				2026-04-16T18:57:36.650Z				2026-04-16T18:57:36.650Z
1.10	AW40MOD100	4	1	M				2026-04-16T18:57:36.653Z				2026-04-16T18:57:36.653Z
1.10	CPFEF1	3	1	SOLODESCRIPCION_IMG				2026-04-14T10:00:32.033Z				2026-04-14T10:00:32.033Z
1.10	CPFETFHKA	3	1	SOLODESCRIPCION_IMG				2026-04-14T10:00:32.033Z				2026-04-14T10:00:32.033Z
1.11	AW40MOD100	3	1	MINI_DESCRIP_COMPLETA_PUR				2026-04-16T18:57:36.656Z				2026-04-16T18:57:36.656Z
1.11	AW40MOD100	4	1	A				2026-04-16T18:57:36.663Z				2026-04-16T18:57:36.663Z
1.2	AW40MOD100	3	1	MINI_DESCRIP_COMPLETA_VER				2026-04-23T22:59:51.010Z				2026-04-23T22:59:51.010Z
1.2	AW40MOD100	4	1	M				2026-04-23T22:59:51.013Z				2026-04-23T22:59:51.013Z
1.2	AW40MOD120	3	1	FULL_NOMBRE_DESCRIPCION				2026-05-05T07:05:49.610Z				2026-05-05T07:05:49.610Z
1.2	AW40MOD120	4	1	B				2026-05-05T07:05:49.610Z				2026-05-05T07:05:49.610Z
1.2	AW40MOD130	3	1	FULL_NOMBRE_DESCRIPCION				2026-05-05T07:23:53.966Z				2026-05-05T07:23:53.966Z
1.2	AW40MOD130	4	1	B				2026-05-05T07:23:53.966Z				2026-05-05T07:23:53.966Z
1.2	CP40MOD096	3	1	FULL_NOMBRE_DESCRIPCION				2026-04-14T10:00:32.033Z				2026-04-14T10:00:32.033Z
1.2	CP40MOD096	4	1	B				2026-04-14T10:00:32.353Z				2026-04-14T10:00:32.353Z
1.3	AW40MOD100	3	1	MINI_DESCRIP_COMPLETA_PUR				2026-04-23T22:59:51.020Z				2026-04-23T22:59:51.020Z
