ICURSO,NCURSO,ITEMA,DESCRIPCION,IDRIVER,BACTIVO,BGENERACERTIFICADO,IUSUARIOCRE,IAPPCRE,IPCRE,FHCRE,IUSUARIOULT,IAPPULT,IPULT,FHULT
202,202,,,,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
ACT-CP2022,Proceso de actualización del sistema ContaPyme®,,Mantenga su sistema al día: Actualice súper fácil su ContaPyme® en tan solo tres pasos.,2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
ACT-TRIB23,Curso virtual: Actualización Tributaria 2023,,"<p>Temática: 1. Los principales impactos de la reforma tributaria sobre las personas jurídicas y naturales, en materia de impuesto sobre la renta, impuesto al patrimonio, dividendos y ganancias ocasionales. 2. Las modificaciones al régimen simple. 3. El procedimiento tributario. 4. Las sanciones que se pueden presentar. 5. Los delitos tributarios. 6. Las amnistías.</p>",2,1,0,,,,2026-04-08T14:22:57.043Z,35,,181.59.225.2,2026-04-29T17:27:42.132Z
ACT-TRIB24,Curso virtual: Actualización Tributaria 2024,,"<p>Temática: 1. Principales obligaciones tributarias, contables y laborales del año 2024. 2. Cambios a considerar en el régimen simple de tributación. 3. Nueva resolución de documentos electrónicos. 4. Cambios en la tributación de dividendos, impuesto al patrimonio y declaración de renta de personas naturales. 5. Tasa mínima de tributación para personas jurídicas.</p>",2,1,0,,,,2026-04-08T14:22:57.043Z,35,,181.143.252.154,2026-04-28T14:26:46.008Z
ACTCAP821,Actualícese: Mantenga su sistema al día,,"Actualícese super fácil

Aprenda con los expertos como mantener su sistema actualizado y cumpliendo con todos los requerimientos exigidos por la DIAN.",2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
ADMIN-001,Administración de bodegas,TEMA-LOG,Curso introductorio para personal de bodega,0,1,0,35,,127.0.0.1,2026-04-30T12:11:01.921Z,35,,127.0.0.1,2026-04-30T12:11:01.921Z
AFADETE,Curso Virtual :Analisis Financiero: el arte de entender tu empresa,,"Temática de la sesión:
1- Entiende tus estados financieros
Comprende la estructura de tus activos, pasivos, ingresos y gastos para tomar decisiones más estratégicas.

2- Analiza la rentabilidad y los costos con claridad
Identifica dónde se concentran tus mayores egresos y cómo impactan en los márgenes del negocio.

3- Compara períodos y detecta tendencias
Evalúa si tu empresa está mejor que antes o si hay señales de alerta que requieren atención.

4- ¿Crecimiento o riesgo de iliquidez?
Evalúa si tu empresa está mejor que antes o si hay señales de alerta que requieren atención.

5- Herramientas prácticas para analizar tu información financiera
Aprende a organizar, interpretar y visualizar tus cifras con mayor facilidad

6- Solución de dudas en vivo
Aclara tus dudas en vivo con nuestros expertos.
",2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
ANPP261125,Curso virtual: Actualización NIIF para Pymes,,"Temática de la sesión:
1- Nuevos instrumentos financieros
2- Reconocimiento de ingresos - NIIF 15
3- Casos prácticos de implementación
",2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40JCV917,Capacitación AgroWin Septiembre 2017,,Este curso incluye videos de capacitación de los módulos del sistema AgroWin,2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD100,Introducción a AgroWin,,,1,1,1,,,,2026-04-08T14:22:57.043Z,35,,181.53.99.105,2026-04-23T22:59:50.353Z
AW40MOD110,Creación de la finca,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD120,Introducción preliminar a costos,,,1,1,0,,,,2026-04-08T14:22:57.043Z,35,,181.53.99.105,2026-05-01T10:10:41.590Z
AW40MOD130,Actividades y labores,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD140,Insumos y materiales,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD150,Maquinaria y equipo,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD160,Metodologías de costos - AgroWin,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD170,Metodología de costos parciales - Contabilidad simplificada,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD180,Manejo de la producción - Contabilidad simplificada,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD190,Cultivos transitorios - Contabilidad simplificada,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD200,Cultivos perennes - Contabilidad simplificada,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD210,Metodología de costos totales - Contabilidad de costos,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD220,Manejo de la producción - Contabilidad de costos,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD230,Tratamiento de costos directos - Contabilidad de costos,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD240,Costeo de maquinaria y equipo,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD250,Cultivos transitorios - Contabilidad de costos,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW40MOD260,Cultivos perennes - Contabilidad de costos,,,1,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
AW4JC09-16,AgroWin 4.0 - Jornada de capacitación virtual ,,,2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
BAS_XSPLIT,Curso básico de XSplit,,Este curso enseña de forma básica el funcionamiento y diferentes componentes que forman la aplicación XSplit.,2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
CAPCPR8,Capacitaciones ContaPyme R8,,Jornadas de capacitación en manejo de ContaPyme Release 8,2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
CAPCPR8DIS,Capacitación R8 Distribuidores.,,Videos de capacitación de las nuevas funcionalidades de ContaPyme R8,2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
CAPINTERNA,Capacitaciones Internas InSoft,,Este curso contiene las capacitaciones internas que se realizan con los empleados de InSoft,2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
CCCONSCONT,Consultorio contable de preguntas - Presentación de los Medios Magnéticos ,,Ene ste video se resuelven todas las dudas e inquietudes relacionadas con la presentación de los Medios Magnéticos ante la DIAN correspondientes al año gravable 2016.,2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
CCDECREN17,"Declaración de renta, un enfoque para personas naturales",,Curso realizado por la Comunidad ContaPyme para dar a conocer los nuevos cambios que trajo la nueva Reforma tributaria. ,2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
CCMEDMAG16,Medios magnéticos año gravable 2016,,Este curso incluye videos que explican las actualizaciones y novedades para la generación de la información exógena ante la DIAN del año 2016 a presentar en el año 2017. ,2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
CCNIIFSF,NIIF Súper fáciles ¿Cómo vamos?,,En este curso se incluyen videos de cursos virtuales de la comunidad ContaPyme referentes a las NIIF,2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
CCNIIFSF18,Comunidad ContaPyme 2018,,En este curso se incluyen los videos sobre NIIF de la comunidad ContaPyme dictados en el año 2018,2,1,0,,,,2026-04-08T14:22:57.043Z,,,,2026-04-08T14:22:57.043Z
