IPLAN,ICURSO,TITULO,ITEMA,IRECURSO,BACTIVO,IUSUARIOCRE,IAPPCRE,IPCRE,FHCRE,IUSUARIOULT,IAPPULT,IPULT,FHULT
0.100,CP40MOD095,,,1659,1,,,,2026-04-14T10:35:28.956Z,,,,2026-04-14T10:35:28.956Z
1,ACT-TRIB23,Actualización Tributaria 2023,,,1,35,,181.59.225.2,2026-04-29T17:27:42.381Z,35,,181.59.225.2,2026-04-29T17:27:42.381Z
1,AW40MOD100,INTRODUCCIÓN A AGROWIN,,,1,35,,181.53.99.105,2026-04-23T22:59:50.572Z,35,,181.53.99.105,2026-04-23T22:59:50.572Z
1,AW40MOD120,INTRODUCCIÓN PRELIMINAR A COSTOS,,,1,35,,181.53.99.105,2026-05-01T10:10:41.975Z,35,,181.53.99.105,2026-05-01T10:10:41.975Z
1,CP40MOD096,ACTIVACIÓN FACTURACIÓN ELECTRÓNICA,,,1,,,,2026-04-14T10:35:28.956Z,,,,2026-04-14T10:35:28.956Z
1,CPFEF1,Facturación electrónica desde el portal de clientes - ContaPyme®,,,1,,,,2026-04-14T10:35:28.956Z,,,,2026-04-14T10:35:28.956Z
1,CPFETFHKA,Facturación electrónica desde el portal de clientes - ContaPyme®,,,1,,,,2026-04-14T10:35:28.956Z,,,,2026-04-14T10:35:28.956Z
1.1,ACT-TRIB23,,,8860,1,35,,181.59.225.2,2026-04-29T17:27:42.392Z,35,,181.59.225.2,2026-04-29T17:27:42.392Z
1.1,AW40MOD100,Configuración de catálogos adicionales,,242,1,35,,181.53.99.105,2026-04-23T22:59:50.568Z,35,,181.53.99.105,2026-04-23T22:59:50.568Z
1.1,AW40MOD120,Contabilidad de costos,,311,1,35,,181.53.99.105,2026-05-01T10:10:41.978Z,35,,181.53.99.105,2026-05-01T10:10:41.978Z
1.1,CP40MOD096,Generación del set de pruebas ante la DIAN,,8940,1,,,,2026-04-14T10:35:28.956Z,,,,2026-04-14T10:35:28.956Z
1.10,CPFEF1,Facturación electrónica desde el portal de clientes - ContaPyme,,6000,1,,,,2026-04-14T10:35:28.956Z,,,,2026-04-14T10:35:28.956Z
1.10,CPFETFHKA,Facturación electrónica desde el portal de clientes - ContaPyme,,6000,1,,,,2026-04-14T10:35:28.956Z,,,,2026-04-14T10:35:28.956Z
1.2,AW40MOD100,Estructura de costeo - Definición del destino de los recursos,,240,1,35,,181.53.99.105,2026-04-23T22:59:50.577Z,35,,181.53.99.105,2026-04-23T22:59:50.577Z
