ICURSO,IPERMISO,BACTIVO,IUSUARIOCRE,IAPPCRE,IPCRE,FHCRE,IUSUARIOULT,IAPPULT,IPULT,FHULT
ACT-CP2022,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
ACT-CP2022,RL,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
ACT-TRIB23,GN,1,,,,2026-04-29T17:27:42.760Z,,,,2026-04-29T17:27:42.760Z
ACT-TRIB24,GN,1,,,,2026-04-28T14:26:46.353Z,,,,2026-04-28T14:26:46.353Z
ACTCAP821,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AFADETE,RL,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
ANPP261125,RL,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AW40JCV917,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AW40MOD100,GN,1,,,,2026-04-23T22:59:50.940Z,,,,2026-04-23T22:59:50.940Z
AW40MOD100,RL,1,,,,2026-04-23T22:59:50.940Z,,,,2026-04-23T22:59:50.940Z
AW40MOD120,CO,1,,,,2026-05-01T10:10:43.860Z,,,,2026-05-01T10:10:43.860Z
AW40MOD130,AE,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AW40MOD130,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AW40MOD130,RL,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AW40MOD190,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AW40MOD190,RL,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AW40MOD200,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AW40MOD200,RL,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AW40MOD250,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AW40MOD250,RL,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AW40MOD260,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AW40MOD260,RL,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
AW4JC09-16,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
BAS_XSPLIT,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CAPCPR8,RL,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CAPCPR8DIS,DIS,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CAPINTERNA,RL,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CCCONSCONT,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CCDECREN17,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CCMEDMAG16,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CCNIIFSF,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CCNIIFSF18,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CCNIIFSF19,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CCNIIFSF20,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CCNIIFSP19,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CCREFTRIMF,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CCYF021225,RL,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CEI180226,RL,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CGINVE2022,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CIERREC-24,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CIERREF-23,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CONFIMP921,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CP_EXO321,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CP_NE221,GN,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
CP40MOD005,ADM,1,,,,2026-04-08T14:23:01.446Z,,,,2026-04-08T14:23:01.446Z
