ICURSO	NCURSO	ITEMA	DESCRIPCION	IDRIVER	BACTIVO	BGENERACERTIFICADO	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
DISTCOM001	Competencias comerciales para distribuidores													
CP40SEM010	Seminario NIIF súper fáciles		En este seminario se incluyen videos de la comunidad ContaPyme referentes a las NIIF											
AW4JC09-16	AgroWin 4.0 - Jornada de capacitación virtual 													
CP40SEM020	Seminario NIIF súper fáciles recargado		En este seminario recargado se incluyen videos de la comunidad ContaPyme referentes a las NIIF											
AW40MOD100	Introducción a AgroWin													
AW40MOD110	Creación de la finca													
AW40MOD120	Introducción preliminar a costos													
AW40MOD130	Actividades y labores													
AW40MOD140	Insumos y materiales													
CP40MOD010	Sistema básico													
CP40MOD020	Contabilidad básica													
CP40MOD030	Contabilidad - Cálculo automático impuestos													
CP40MOD040	Contabilidad - Configuración informes tributarios													
CP40MOD050	Contabilidad - Flujos de efectivo - Método Directo													
CP40MOD060	Contabilidad - Conciliación bancaria manual													
CP40MOD070	Contabilidad - Generación información exógena													
CP40MOD080	Cartera y proveedores													
CP40MOD090	Automatización de documentos													
CP40MOD100	Presupuesto y Ejecución presupuestal													
CP40MOD110	Activos fijos													
CP40MOD120	Conciliación bancaria automática													
CP40MOD130	Inventarios gestión básica													
CP40MOD140	Inventarios gestión comercial													
CP40MOD150	Inventarios punto de venta													
CP40MOD160	Inventarios comisiones													
CP40MOD170	Inventarios plus													
CP40MOD180	Introducción preliminar a costos													
CP40MOD190	Insumos y materiales													
CP40MOD210	Manejo de la producción													
CP40MOD230	Actividades y labores													
CP40MOD250	Tratamiento de costos indirectos													
CP40MOD270	Costeo por líneas de producción													
CP40MOD280	Costeo por ordenes de producción													
CP40MOD290	Costeo por ordenes de trabajo													
CP40MOD320	Costeo de maquinaria y equipo													
CP40MOD350	Usuarios y perfiles de seguridad													
CP40MOD360	Diseñador de documentos													
CP40MOD370	Sincronización entre sucursales													
CP40MOD380	ContaExcel													
CP40MOD390	Indicadores empresariales y por centros de costos													
CP40MOD420	Mapa de centros de costos e indicadores													
CP40MOD005	Configuración e Instalación													
CP40MOD075	Contabilidad - Impuestos y monedas													
CP40MOD095	Componentes comunes de las operaciones													
CP40MOD185	Metodologías de costos													
CP40MOD135	IVA como mayor valor en inventarios													
CP40MOD385	ContaExcel Add-In													
CP40MOD093	Nómina contable													
CP40MOD430	Sistema de soporte técnico en línea													
CP40MOD490	Videos para distribuidores													
CP40MOD530	ContaPyme móvil													
CP40MOD620	Curso NIIF súper fáciles con ContaPyme													
CP40MOD025	Políticas contables, notas y revelaciones													
AW40MOD150	Maquinaria y equipo													
AW40MOD160	Metodologías de costos - AgroWin													
AW40MOD170	Metodología de costos parciales - Contabilidad simplificada													
AW40MOD180	Manejo de la producción - Contabilidad simplificada													
AW40MOD190	Cultivos transitorios - Contabilidad simplificada													
AW40MOD200	Cultivos perennes - Contabilidad simplificada													
AW40MOD210	Metodología de costos totales - Contabilidad de costos													
AW40MOD220	Manejo de la producción - Contabilidad de costos													
AW40MOD230	Tratamiento de costos directos - Contabilidad de costos													
AW40MOD240	Costeo de maquinaria y equipo													
AW40MOD250	Cultivos transitorios - Contabilidad de costos													
AW40MOD260	Cultivos perennes - Contabilidad de costos													
ZZZZZZZZZZ	Curso de prueba PRENDON		Este curso es donde ingeniería realiza pruebas no publicar.\r\n\r\nGracias											
CP4CV0617	Capacitación ContaPyme Junio 2017													
CCNIIFSF	NIIF Súper fáciles ¿Cómo vamos?		En este curso se incluyen videos de cursos virtuales de la comunidad ContaPyme referentes a las NIIF											
AW40JCV917	Capacitación AgroWin Septiembre 2017		Este curso incluye videos de capacitación de los módulos del sistema AgroWin											
CCDECREN17	Declaración de renta, un enfoque para personas naturales		Curso realizado por la Comunidad ContaPyme para dar a conocer los nuevos cambios que trajo la nueva Reforma tributaria. 											
CCCONSCONT	Consultorio contable de preguntas - Presentación de los Medios Magnéticos 		Ene ste video se resuelven todas las dudas e inquietudes relacionadas con la presentación de los Medios Magnéticos ante la DIAN correspondientes al año gravable 2016.											
CCREFTRIMF	Reforma tributaria - Más fácil		Este curso  explica los nuevos cambios que trajo la nueva Reforma Tributaria para personas naturales y jurídicas con la entrada en vigencia de la Ley 1819 de 2016.											
CCMEDMAG16	Medios magnéticos año gravable 2016		Este curso incluye videos que explican las actualizaciones y novedades para la generación de la información exógena ante la DIAN del año 2016 a presentar en el año 2017. 											
GESTTELE01	Gestión telefónica													
TESTAPRIET	Curso de prueba Aprieto		Este curso ayuda a aprieto a definir driver de videos y esctruturas											
CP4CV1017	Capacitación virtual manejo de ContaPyme		En este curso se encuentran los videos de capacitación virtual en manejo de ContaPyme.											
PRESCOMCP	Demostración ContaPyme®		En este video se enseñan las características, ventajas y funciones del software ContaPyme®.											
PRIPASDEMO	Primeros pasos con ContaPyme®		En este curso se enseñan los primeros pasos a realizar para iniciar la experiencia con la versión demostrativa de ContaPyme.											
VPCONTADOR	Videos para perfil Contador		Este curso muestra un listado de videos explicativos orientados al manejo que necesita conocer un usuario cuyo perfil sea Contador.											
VPAUXCONTA	Videos para perfil Auxiliar contable		Este curso muestra un listado de videos explicativos orientados al manejo que necesita conocer un usuario cuyo perfil sea Auxiliar contable											
VPREVISORF	Videos para perfil Revisor fiscal		Este curso muestra un listado de videos explicativos orientados al manejo que necesita conocer un usuario cuyo perfil sea Revisor fiscal											
VPJBODEGA	Videos para perfil Jefe de bodega		Este curso muestra un listado de videos explicativos orientados al manejo que necesita conocer un usuario cuyo perfil sea Jefe de bodega											
VPGCOMERCI	Videos para perfil Gerente comercial		Este curso muestra un listado de videos explicativos orientados al manejo que necesita conocer un usuario cuyo perfil sea Gerente comercial											
VPACOMERCI	Videos para perfil Asesor comercial		Este curso muestra un listado de videos explicativos orientados al manejo que necesita conocer un usuario cuyo perfil sea Asesor comercial											
VPFACTURA	Videos para perfil Facturación		Este curso muestra un listado de videos explicativos orientados al manejo que necesita conocer un usuario cuyo perfil sea Facturación											
BAS_XSPLIT	Curso básico de XSplit		Este curso enseña de forma básica el funcionamiento y diferentes componentes que forman la aplicación XSplit.											
CCNIIFSF18	Comunidad ContaPyme 2018		En este curso se incluyen los videos sobre NIIF de la comunidad ContaPyme dictados en el año 2018											
CCNIIFSP19	Creditos al encargado de la sala-virtual 2018		En este campo escribir una breve descripciòn del para que sirve este curso, y que se puede agregar en el.											
CVMCPC	Capacitación Virtual Manejo de ContaPyme - Comercial		En este curso se encuentran los videos de capacitación virtual en manejo de ContaPyme.											
CVMCPN	Capacitación Virtual Manejo de ContaPyme - Nómina		En este curso se encuentran los videos de capacitación virtual en manejo de ContaPyme.											
CPDIST2018	Capacitación distribuidor asesor.		En este curso se incluyen los videos para capacitar distribuidores asesores											
FORBASCOM	Curso formación aspectos básicos comerciales		En este curso se incluyen videos que permiten la formación de distribuidores y asesores de InSoft en aspectos básicos de menejo comercial.											
CPDISTCHAR	Charlas para distribuidores		En este curso se incluyen charlas generales para los distribuidores en formación.											
PRESCOMAW	Demostración en vivo AgroWin		Regálese unos minutos y conozca porqué más de 3.000 usuarios lo califican como el mejor ERP para el agro de Latinoamérica											
CCNIIFSF19	Comunidad ContaPyme 2019		En este curso se incluyen los videos de la comunidad ContaPyme dictados en el año 2019											
FACTELEC	Facturación electrónica con ContaPyme®		En este curso se incluyen los videos que se han dictado de la comunidad ContaPyme® sobre facturación electrónica.											
CAPCPR8	Capacitaciones ContaPyme R8		Jornadas de capacitación en manejo de ContaPyme Release 8											
CPFETFHKA	Configuración en modo habilitación y producción TF HKA - ContaPyme®		En esta guía se indican todos los pasos a seguir para realizar la habilitación y paso a producción de facturación electrónica en validación previa con el proveedor tecnológico The Factory HKA.											
CPFEF1	Configuración en modo habilitación y producción F1 - ContaPyme®		En esta guía se indican todos los pasos a seguir para realizar la habilitación y paso a producción de facturación electrónica en validación previa con el proveedor tecnológico Factura 1.											
CCNIIFSF20	Comunidad ContaPyme 2020.		Videos transmitidos de la comunidad ContaPyme® el 2020.											
TELETRAB	¿Cómo trabajar desde casa con ContaPyme?													
CAPCPR8DIS	Capacitación R8 Distribuidores.		Videos de capacitación de las nuevas funcionalidades de ContaPyme R8											
MEMSEM1	Memorias Semana 1 Jornada de capacitación en manejo de ContaPyme													
PRUEBASVID	Prueba videos ENVIVO		Prueba videos.											
ING01	Curso Ingenieria		Capacitiaciones ingenieria											
MIGRADORR8	Videos de capacitación sobre migración a R8													
NUEVOCPR8	Nuevo ContaPyme® R8		Conozca las nuevas funcionalidades del nuevo ContaPyme R8.											
CAPINTERNA	Capacitaciones Internas InSoft		Este curso contiene las capacitaciones internas que se realizan con los empleados de InSoft											
CURSOSFE	Recursos de ayuda para facturaión electrónica		En este curso encontrará los procesos de configuración de facturación electrónica y solución a muchos de sus errores											
SUMMIT2020	ContaPyme Summit 2020		Aquí podrá acceder a las memorias del ContaPyme Summit 2020.											
CP_EXO321	¿Cómo presentar su información exógena?		1. Información exógena para la DIAN en medios electrónicos.\r\n\r\n2. Consistencia fiscal de la información contable, estados financieros, declaraciones tributarias en la preparación de la información en medios digitales. \r\n\r\n3. Casos prácticos.\r\n\r\n4. Procedimiento y jurisprudencia relacionados con el reporte de información en medios electrónicos.\r\n\r\n5. Aseguramiento de la información relacionados con el envío de información en medios electrónicos.\r\n\r\n6. Régimen sancionatorio. 											
CP_NE221	Nómina electrónica ¿qué, cómo y cuándo?													
MIESCA	Misión Escaladores		Listado de videos para capacitarse y certificarse para la Misión Escaladores.											
CPNE521	Conceptos de Nómina y  Nómina Electrónica.		Aquí podrá acceder a las memorias deel curso virtual Conceptos de Nómina Electrónica más fácil más simple.											
CPCONC521	Conciliación fiscal formato 2516		Aquí podrá encontrar las memorias del curso de conciliación fiscal, formato 2516.											
CPNE421	¿Cómo me preparo para la nómina electrónica?		Aquí encontrará las memorias del curso virtual gratuito ¿Cómo me preparo para la nómina electrónica?											
CPDE621	La mejor guía para aprender sobre documentos electrónicos		Tranquilo, aprenda de la mano de expertos todo lo que necesita saber acerca de documentos electrónicos (Factura Electrónica - Documentos Equivalentes - Nómina Electrónica).											
RECONT	Ruta especializada contabilidad		Listado de videos para capacitarse y certificarse en todas las herramientas de contabilidad de ContaPyme.											
RECART	Ruta especializada cartera		Listado de videos para capacitarse y certificarse en todas las herramientas de cartera de ContaPyme.											
REDEL	Ruta especializada documentos electrónicos		Listado de videos para capacitarse y certificarse en  todas las herramientas de documentos electrónicos de ContaPyme.											
READM	Ruta especializada administrativa		Listado de videos para capacitarse y certificarse en todas las herramientas administrativas de ContaPyme.											
REINV	Ruta especializada inventarios		Listado de videos para capacitarse y certificarse en todas las herramientas de inventarios de ContaPyme.											
REDES	Ruta especializada para desarrolladores		Listado de videos para capacitarse y certificarse en todas las herramientas de desarrollo de ContaPyme.											
RETEC	Ruta especializada técnica		Listado de videos para capacitarse y certificarse en todas las herramientas técnicas de ContaPyme.											
CPDR721	Declaración de renta para personas naturales		Principales modificaciones AG 2020 al impuesto de renta a personas naturales residentes no obligadas a llevar contabilidad.											
FACELE	Facturación Electrónica		Vídeos explicativos de configuración y manejo de facturación electrónica:\r\nConceptos y normatividad.\r\nOperaciones del módulo de automatización de documentos.\r\nOperaciones del módulo de inventarios y facturación.\r\nConfiguraciones con los diferentes proveedores tecnológicos aliados.											
PRUEBA	Prueba (Eliminar)													
CPCAPR8	Capacitación ContaPyme R8		Vídeos explicativos de diferentes funcionalidades del sistema ContaPyme en el Release 8.											
CPNE821	Todo lo que debe saber sobre Nómina Electrónica		1. ¿Cuándo debo iniciar Nómina Electrónica?\r\n \r\n2. ¿Cuáles son los documentos de Nómina Electrónica?\r\n\r\n3. ¿Estoy obligado a generar Nómina Electrónica?\r\n\r\n4. Cambios en la resolución.\r\n\r\n5. Calendarios y mucho más...											
ACTCAP821	Actualícese: Mantenga su sistema al día		Actualícese super fácil\r\n\r\nAprenda con los expertos como mantener su sistema actualizado y cumpliendo con todos los requerimientos exigidos por la DIAN.											
CONFIMP921	Configure sus impuestos en ContaPyme® según lineamientos DIAN.		Live para resolver inquietudes y apoyar el proceso de configuración de sus impuestos en ContaPyme. a partir de  anexo técnico 1.8 DIAN.											
DISTNE	CAPACITACIÓN MÓDULO DE NÓMINA		Descripción general del módulo de nómina.											
CPNE1021	ABC de Nómina Electrónica para Pymes.		Descubra una solución ideal, Nómina LITE de ContaPyme®\r\n\r\n1. Conozca los conceptos básicos para la generación de su nómina electrónica.\r\n\r\n2. ¿Si actualmente llevo nómina contable, puedo generar nómina electrónica?  Comprenda las principales diferencias y cómo prepararse.\r\n\r\n3. Descubra, nuestra solución de Nómina LITE: Pensada en usted automática, personalizable y fácil de usar.\r\n\r\n4. ¡Responderemos sus dudas en vivo!											
SINIVA2021	Manejo de días sin IVA 2021 en ContaPyme®		1) Normatividad Días Sin IVA 2021\r\n\r\n2) Manejo ContaPyme® Días Sin IVA 2021											
CPNE1	Nómina en ContaPyme®		Nómina LITE de ContaPyme® \r\n\r\nMódulo de Nómina ContaPyme®: Guía de implementación.\r\n\r\n1. Actualice su sistema, hagámoslo juntos.\r\n\r\n2. Aprenda como registrar y activar su licencia de Nómina en ContaPyme®.\r\n\r\n3. Implemente Nómina Electrónica con el apoyo de nuestros expertos.\r\n\r\n4. Aprenda como realizar la activación de NE en ContaPyme®.\r\n\r\n5. Conozca como debe parametrizar el sistema.\r\n\r\n5. Comprenda cómo realizar el registro inicial.											
CPCAPNE	Capacitación Nómina y Nómina Electrónica		Videos explicativos del nuevo módulo de nómina: Configuraciones, catálogos y operaciones.\r\nIncluye videos de capacitación del manejo de documento de soporte de pago de nómina electrónica.											
TRIBUT2022	Actualización Tributaria 2022		* Ley 2155 de inversión social del 14 de septiembre de 2021\r\n\r\n*Impuesto sobre las ventas e impuesto al consumo INC.\r\n\r\n* Medidas para combatir la evasión y el abuso en materia tributaria.\r\n\r\n* Beneficios tributarios.											
PREPNE2022	¿Está listo para el reporte de Nómina Electrónica?		Estos fueron los principales temas tratados:\r\n\r\n1) Objetivo (Énfasis Doctrinal)\r\n2) Devengos\r\n3) Deducciones\r\n4) Explicación de Pagos a Terceros\r\n5) Pagos No Reportables\r\n6) Régimen Sancionatorio\r\n7) Errores más Frecuentes\r\n8) Responsabilidad del Reporte\r\n9) Plazo Empleadores con menos de 10 Empleados											
EXÓ2022	¿Cómo presentar su información exógena		Sesión 1: Miércoles 16 de Marzo\r\n\r\n    • Información exógena para la DIAN en medios electrónicos.\r\n    • Consistencia fiscal de la información contable, estados financieros, declaraciones tributarias en la preparación de la información en medios digitales.\r\n    • Casos prácticos.\r\n    • Procedimiento y jurisprudencia relacionados con el reporte de información en medios electrónicos.\r\n    • Aseguramiento de todo lo relacionado con el envío de información en medios electrónicos.\r\n    • Régimen sancionatorio.\r\n\r\nSesión 2: Jueves 17 de Marzo\r\n\r\n    • Demostración en ContaPyme®.\r\n    • Solución de preguntas en vivo.											
EXOG2022	¿Cómo presentar su información exógena? 2022		Sesión 1: Miércoles 16 de Marzo\r\n\r\n    • Información exógena para la DIAN en medios electrónicos.\r\n    • Consistencia fiscal de la información contable, estados financieros, declaraciones tributarias en la preparación de la información en medios digitales.\r\n    • Casos prácticos.\r\n    • Procedimiento y jurisprudencia relacionados con el reporte de información en medios electrónicos.\r\n    • Aseguramiento de todo lo relacionado con el envío de información en medios electrónicos.\r\n    • Régimen sancionatorio.\r\n\r\nSesión 2: Jueves 17 de Marzo\r\n\r\n    • Demostración en ContaPyme®.\r\n    • Solución de preguntas en vivo.											
CPFORM2516	Formato 2516 - Reporte de Conciliación Fiscal		Temática:\r\n\r\n1. Cómo generar el formato 2516 con ContaPyme®\r\n2. Adecuación del sistema ContaPyme®.\r\n3. Marco normativo.\r\n4. ¿Quiénes están obligados a informar?.\r\n5. Caso práctico.											
CPDRJUR22	Declaración de renta para personas jurídicas		Principales variaciones del año gravable 2021 al impuesto de renta a personas jurídicas.\r\n\r\nTemática:\r\n\r\n1. Cuidados y arreglos preliminares.\r\n2. Manejo del patrimonio, ingresos, costos y deducciones.\r\n3. Liquidación de impuesto y anticipo.\r\n4. Beneficio de auditoria, firma, presentación y pago.\r\n5. Conciliación fiscal y herramientas de ayuda. \r\n6. Liquidación de sanciones.											
CPDSNO2022	Guía para aprender de documento soporte en compras a no obligados a emitir factura electrónica		Documento soporte en adquisiciones a sujetos no obligados a expedir factura de venta o documento equivalente.\r\n\r\nTemática:\r\n\r\n1. ¿Para qué sirve y por qué se debe implementar?\r\n2. Diferencias entre documento soporte y documento equivalente.\r\n3. Conceptos clave de la estructura del documento soporte.\r\n4. ¿Quiénes están obligados a emitir este documento?\r\n5. Fechas de implementación.											
