IPLAN	ICURSO	TITULO	ITEMA	IRECURSO	BACTIVO	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
010010	DISTCOM001	Competencias comerciales - "Servicio al cliente parte 1" 											
010020	DISTCOM001	Competencias comerciales - "Servicio al cliente parte 2" 											
020010	DISTCOM001	Competencias comerciales - "Prospección de clientes y manejo de agenda parte 1" 											
020020	DISTCOM001	Competencias comerciales - "Prospección de clientes y manejo de agenda - parte 2" 											
030010	DISTCOM001	Competencias comerciales - "Argumentación parte 1" 											
030020	DISTCOM001	Competencias comerciales - "Argumentación parte 2"											
040	DISTCOM001	Manejo de objeciones comerciales											
040010	DISTCOM001	Competencias comerciales - "Manejo de objeciones comerciales parte 1" 											
010	AW4JC09-16	Introducción a AgroWin											
020	AW4JC09-16	Sistema Básico											
010010	AW4JC09-16	Introducción AgroWin											
020010	AW4JC09-16	Sistema Básico											
020020	AW4JC09-16	Creación de la finca y sus recursos											
030	AW4JC09-16	Inventarios Básico											
030010	AW4JC09-16	Inventarios Básico parte I											
030020	AW4JC09-16	Inventarios Básico parte II - Consumo de insumos											
040	AW4JC09-16	Actividades y labores											
040010	AW4JC09-16	Mano de obra parte I											
040020	AW4JC09-16	Mano de obra parte II											
060	AW4JC09-16	Costos de Producción											
050	AW4JC09-16	Activos fijos											
050010	AW4JC09-16	Maquinaria y equipo											
060010	AW4JC09-16	Introducción a costos											
060020	AW4JC09-16	Manejo de costos indirectos parte I											
060030	AW4JC09-16	Manejo de costos indirectos parte II											
070	AW4JC09-16	Cultivos											
070010	AW4JC09-16	Cultivos transitorios											
070020	AW4JC09-16	Cultivos perennes parte I											
070030	AW4JC09-16	Cultivos perennes parte II											
080	AW4JC09-16	Contabilidad											
080010	AW4JC09-16	Contabilidad básico parte I											
080020	AW4JC09-16	Contabilidad básico parte II											
090	AW4JC09-16	Automatización de documentos											
090010	AW4JC09-16	Automatización de documentos											
100	AW4JC09-16	Cartera y Proveedores											
100010	AW4JC09-16	Cartera y Proveedores											
110	AW4JC09-16	Presupuesto y ejecución presupuestal											
110010	AW4JC09-16	Presupuesto y ejecución presupuestal											
040020	DISTCOM001	Competencias comerciales - "Manejo de objeciones comerciales parte 2"											
050	DISTCOM001	Cierre de ventas											
050010	DISTCOM001	Competencias comerciales - "Técnicas de cierre de ventas"											
130	CP40MOD150	OTRAS CONFIGURACIONES											
130010	CP40MOD150	Manejo de códigos de barras de productos con peso o precio variable 											
020010	AW40MOD260	Creación de un cultivo perenne											
020011	AW40MOD260	Etapa de desarrollo											
020012	AW40MOD260	Etapa productiva manejo de costos											
020013	AW40MOD260	Etapa productiva Manejo de la producción											
020014	AW40MOD260	Cierre de ciclo de costos											
020015	AW40MOD260	Zoca o erradicación de cultivos perennes											
020016	AW40MOD260	Informes en cultivos perennes											
090	CP40MOD010	NAVEGACIÓN EN LA PLATAFORMA											
100	CP40MOD010	COPIAS DE SEGURIDAD											
055009	CP40MOD130	Implementación impuesto nacional al consumo de bolsas plásticas											
022013	CP40MOD090	Implementación impuesto nacional al consumo de bolsas plásticas											
010075	CP40MOD005	Creación de usuarios adicionales											
010051	CP40MOD005	Registro de licencias adicionales											
010052	CP40MOD005	Creación de licencias virtuales											
010076	CP40MOD005	Configuración de las licencias para los usuarios											
010071	CP40MOD005	Creación de un area de trabajo											
010045	CP40MOD005	Configuración de Firebird											
010015	CP40MOD095	Configuración de la numeración de documentos											
010	CCNIIFSF	IMPLEMENTACIÓN Y SEGUIMIENTO DE LAS NIIF EN LAS PYMES											
010016	CP40MOD095	Configuración de la fecha por defecto en la operación											
030015	CP40MOD080	Consulta cuentas por cobrar por edades Lección 1 de 2											
010015	AW40MOD140	Componentes principales manejo de costos de insumos y materiales											
030015	CP40MOD130	Catálogo de grupos de inventario											
050022	CP40MOD130	Configuración de los requerimientos de entrada de datos por pestaña											
052017	CP40MOD130	Registrar compras con base en recepción de materiales											
052018	CP40MOD130	Configuración de campos y columnas de datos											
055028	CP40MOD130	Verificar existencias al grabar la operación de ventas											
055010	CP40MOD130	Impuestos a calcular automaticamente											
055011	CP40MOD130	Precisión de decimales en el precio de venta											
055012	CP40MOD130	Configuración de la última columna de edición											
055014	CP40MOD130	Visualización de pasos de la operación de facturación y ventas											
052013	CP40MOD130	Configuración de la opción sugerir precio de compra											
052014	CP40MOD130	Verificar diferencias en el precio de compra											
052015	CP40MOD130	Selección de criterio de distribucion para otros gastos											
052016	CP40MOD130	Operación de compras llevadas directamente al gasto											
052019	CP40MOD130	Operación de devolución en compras											
052031	CP40MOD130	Activación del uso de unidad de medida en compras											
052032	CP40MOD130	Configuración de la unidad de medidas en compras de un elemento de inventario											
052034	CP40MOD130	Operación de compra de un elemento de inventario											
052036	CP40MOD130	Operación de consumo de un elemento de inventario											
060011	CP40MOD130	Efecto contable del ajuste de inventarios											
060003	CP40MOD130	Ejemplo 1: operación de planilla de uso y/o consumo											
060005	CP40MOD130	Consumo de insumos sin existencias - Lección 1 de 3											
060006	CP40MOD130	Consumo de insumos sin existencias - Lección 2 de 3											
060007	CP40MOD130	Consumo de insumos sin existencias - Lección 3 de 3											
055040	CP40MOD130	Operación de devolución en ventas											
055035	CP40MOD130	Opciones de impresión de la factura de venta											
055007	CP40MOD130	Configuración de la factura de venta											
080015	CP40MOD130	Informe de rotación de productos											
080012	CP40MOD130	Informe de saldos de inventario por centro de costos											
080014	CP40MOD130	Informe movimiento detallado de elementos											
080055	CP40MOD130	Informe comprobante informe diario de ventas											
080065	CP40MOD130	Explorador de inventarios											
027022	CP40MOD090	Ejemplo 2 Abono a préstamo del banco											
