IPLAN	ICURSO	IATRIBUTO	BACTIVO	VALOR	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
0.100	CP40MOD095	3	1	3								
0.100	CP40MOD095	4	1	M								
1.1	ACT-TRIB23	3	1	4								
1.1	AW40MOD100	3	1	1								
1.1	AW40MOD100	4	1	B								
1.1	AW40MOD120	3	1	1								
1.1	AW40MOD120	4	1	B								
1.1	AW40MOD130	3	1	1								
1.1	AW40MOD130	4	1	B								
1.1	CCNIIFSF19	1	1									
1.1	CCNIIFSF19	2	1	https://www.contapyme.com/imagenes/asesores/nvalencia.png								
1.1	CCNIIFSF19	3	1	4								
1.1	CCNIIFSF19	4	1									
1.1	CCNIIFSF19	5	1									
1.1	CCNIIFSF19	6	1	https://www.contapyme.com/memorias/2019/febrero/ley-financiamiento/documentacion.zip								
1.1	CP40MOD096	2	1	https://contapyme.com/contapyme/2023/02-febrero/img/Camila-buritica.png								
1.1	CP40MOD096	3	1	1								
1.1	CP40MOD096	4	1	B								
1.10	AW40MOD100	3	1	3								
1.10	AW40MOD100	4	1	M								
1.10	CPFEF1	3	1	5								
1.10	CPFETFHKA	3	1	5								
1.11	AW40MOD100	3	1	2								
1.11	AW40MOD100	4	1	A								
1.2	AW40MOD100	3	1	3								
1.2	AW40MOD100	4	1	M								
1.2	AW40MOD120	3	1	3								
1.2	AW40MOD120	4	1	M								
1.2	AW40MOD130	3	1	1								
1.2	AW40MOD130	4	1	B								
1.2	CCNIIFSF19	1	1									
1.2	CCNIIFSF19	2	1	https://www.contapyme.com/imagenes/asesores/nvalencia.png								
1.2	CCNIIFSF19	3	1	4								
1.2	CCNIIFSF19	4	1									
1.2	CCNIIFSF19	5	1									
1.2	CCNIIFSF19	6	1	https://www.contapyme.com/memorias/2019/febrero/ley-financiamiento/sesion2.pdf								
1.2	CP40MOD096	2	1	https://contapyme.com/contapyme/2023/02-febrero/img/Camila-buritica.png								
1.2	CP40MOD096	3	1	1								
1.2	CP40MOD096	4	1	B								
1.3	AW40MOD100	3	1	2								
1.3	AW40MOD100	4	1	A								
1.3	AW40MOD120	3	1	1								
1.3	AW40MOD120	4	1	B								
1.3	CP40MOD096	2	1	https://contapyme.com/contapyme/2023/02-febrero/img/Camila-buritica.png								
1.3	CP40MOD096	3	1	1								
1.3	CP40MOD096	4	1	B								
1.4	AW40MOD100	3	1	3								
1.4	AW40MOD100	4	1	M								
1.4	CP40MOD096	2	1	https://contapyme.com/contapyme/2023/02-febrero/img/Camila-buritica.png								
1.4	CP40MOD096	3	1	1								
1.4	CP40MOD096	4	1	B								
1.5	AW40MOD100	3	1	2								
1.5	AW40MOD100	4	1	A								
1.5	CP40MOD096	2	1	https://contapyme.com/contapyme/2023/02-febrero/img/Camila-buritica.png								
1.5	CP40MOD096	3	1	1								
1.5	CP40MOD096	4	1	B								
1.6	AW40MOD100	3	1	3								
1.6	AW40MOD100	4	1	M								
1.7	AW40MOD100	3	1	2								
1.7	AW40MOD100	4	1	A								
1.8	AW40MOD100	3	1	3								
1.8	AW40MOD100	4	1	M								
1.9	AW40MOD100	3	1	2								
1.9	AW40MOD100	4	1	A								
10.1	CCNIIFSF19	3	1	4								
10.1	CP40MOD800	3	1	1								
10.1	CP40MOD800	4	1	B								
10.1	DISTNE	3	1	4								
10.1	REINV	3	1	1								
10.1	REINV	4	1	B								
10.10	ACT-CP2022	2	1	https://contapyme.com/imagenes/asesores/salarcon2.png								
10.10	ACT-CP2022	3	1	4								
10.10	ACT-TRIB23	3	1	4								
10.10	ACT-TRIB24	2	1	https://www.contapyme.com/contapyme/2023/06-junio/img/Nataly%20Arias.png								
10.10	ACT-TRIB24	3	1	4								
10.10	ACT-TRIB24	6	1	https://www.contapyme.com/contapyme/2024/01-enero/docs/Presentacion_Curso_Enero3.pptx								
10.10	ACTCAP821	3	1	4								
10.10	AFADETE	2	1	https://www.contapyme.com/capacitacion/2025/mayo/analisis-financiero/img/Recurso%2035.png								
10.10	AFADETE	3	1	4								
10.10	AFADETE	6	1	http://contapyme.com/contapyme/2025/6-mayo/docs/DEF-INDIVIDUALES-TERPEL-financials_1208163-23.09.19.xlsx\n								
10.10	ANPP261125	2	1	https://www.contapyme.com/capacitacion/2025/mayo/analisis-financiero/img/Recurso%2035.png								
10.10	ANPP261125	3	1	4								
10.10	ANPP261125	6	1	https://contapyme.com/contapyme/2025/11-Noviembre/docs/NIIFparaPymes-LilianaDelgado-ContaPymeSummit.zip								
10.10	AW40MOD100	3	1	1								
10.10	AW40MOD100	4	1	B								
10.10	AW40MOD110	3	1	1								
10.10	AW40MOD110	4	1	B								
10.10	AW40MOD120	3	1	1								
10.10	AW40MOD120	4	1	B								
10.10	AW40MOD130	3	1	1								
