ICURSO	QNIVEL	NNIVEL	BACTIVO	IUSUARIOCRE	IAPPCRE	IPCRE	FHCRE	IUSUARIOULT	IAPPULT	IPULT	FHULT
ACT-CP2022	1	Capítulo	1								
ACT-CP2022	2	Título	1								
ACT-TRIB23	1	Capítulo	1								
ACT-TRIB23	2	Título	1								
ACT-TRIB24	1	Capítulo	1								
ACT-TRIB24	2	Título	1								
ACTCAP821	1	Capítulo	1								
ACTCAP821	2	Título	1								
AFADETE	1	Capítulo	1								
AFADETE	2	Título	1								
ANPP261125	1	Capítulo	1								
ANPP261125	2	Título	1								
AW40JCV917	1	Capítulo	1								
AW40JCV917	2	Título	1								
AW40MOD100	1	Capítulo	1								
AW40MOD100	2	Título	1								
AW40MOD110	1	Capítulo	1								
AW40MOD110	2	Título	1								
AW40MOD120	1	Capítulo	1								
AW40MOD120	2	Título	1								
AW40MOD130	1	Capítulo	1								
AW40MOD130	2	Título	1								
AW40MOD140	1	Capítulo	1								
AW40MOD140	2	Título	1								
AW40MOD150	1	Capítulo	1								
AW40MOD150	2	Título	1								
AW40MOD160	1	Capítulo	1								
AW40MOD160	2	Título	1								
AW40MOD170	1	Capítulo	1								
AW40MOD170	2	Título	1								
AW40MOD180	1	Capítulo	1								
AW40MOD180	2	Título	1								
AW40MOD190	1	Capítulo	1								
AW40MOD190	2	Título	1								
AW40MOD200	1	Capítulo	1								
AW40MOD200	2	Título	1								
AW40MOD210	1	Capítulo	1								
AW40MOD210	2	Título	1								
AW40MOD220	1	Capítulo	1								
AW40MOD220	2	Título	1								
AW40MOD230	1	Capítulo	1								
AW40MOD230	2	Título	1								
AW40MOD240	1	Capítulo	1								
AW40MOD240	2	Título	1								
AW40MOD250	1	Capítulo	1								
AW40MOD250	2	Título	1								
AW40MOD260	1	Capítulo	1								
AW40MOD260	2	Título	1								
AW4JC09-16	1	Capítulo	1								
AW4JC09-16	2	Título	1								
BAS_XSPLIT	1	Capítulo	1								
BAS_XSPLIT	2	Título	1								
CAPCPR8	1	Capítulo	1								
CAPCPR8	2	Título	1								
CAPCPR8DIS	1	Capítulo	1								
CAPCPR8DIS	2	Título	1								
CAPINTERNA	1	Capítulo	1								
CAPINTERNA	2	Título	1								
CCCONSCONT	1	Capítulo	1								
CCCONSCONT	2	Título	1								
CCDECREN17	1	Capítulo	1								
CCDECREN17	2	Título	1								
CCMEDMAG16	1	Capítulo	1								
CCMEDMAG16	2	Título	1								
CCNIIFSF	1	Capítulo	1								
CCNIIFSF	2	Título	1								
CCNIIFSF18	1	Capítulo	1								
CCNIIFSF18	2	Título	1								
CCNIIFSF19	1	Capítulo	1								
CCNIIFSF19	2	Título	1								
CCNIIFSF20	1	Capítulo	1								
CCNIIFSF20	2	Título	1								
CCNIIFSP19	1	Capítulo	1								
CCNIIFSP19	2	Título	1								
CCREFTRIMF	1	Capítulo	1								
CCREFTRIMF	2	Título	1								
CCYF021225	1	Capítulo	1								
CCYF021225	2	Título	1								
CEI180226	1	Capítulo	1								
CEI180226	2	Título	1								
CGINVE2022	1	Capítulo	1								
CGINVE2022	2	Título	1								
CIERREC-24	1	Capítulo	1								
CIERREC-24	2	Título	1								
CIERREF-23	1	Capítulo	1								
CIERREF-23	2	Título	1								
CONFIMP921	1	Capítulo	1								
CONFIMP921	2	Título	1								
CP_EXO321	1	Capítulo	1								
CP_EXO321	2	Título	1								
CP_NE221	1	Capítulo	1								
CP_NE221	2	Título	1								
CP40MOD005	1	Capítulo	1								
CP40MOD005	2	Título	1								
CP40MOD010	1	Capítulo	1								
CP40MOD010	2	Título	1								
CP40MOD020	1	Capítulo	1								
CP40MOD020	2	Título	1								
CP40MOD025	1	Capítulo	1								
CP40MOD025	2	Título	1								
CP40MOD030	1	Capítulo	1								
CP40MOD030	2	Título	1								
CP40MOD040	1	Capítulo	1								
CP40MOD040	2	Título	1								
CP40MOD050	1	Capítulo	1								
CP40MOD050	2	Título	1								
CP40MOD060	1	Capítulo	1								
CP40MOD060	2	Título	1								
CP40MOD070	1	Capítulo	1								
CP40MOD070	2	Título	1								
CP40MOD075	1	Capítulo	1								
CP40MOD075	2	Título	1								
CP40MOD080	1	Capítulo	1								
CP40MOD080	2	Título	1								
CP40MOD085	1	Capítulo	1								
CP40MOD085	2	Título	1								
CP40MOD090	1	Capítulo	1								
CP40MOD090	2	Título	1								
CP40MOD091	1	Capítulo	1								
CP40MOD091	2	Título	1								
CP40MOD092	1	Capítulo	1								
CP40MOD092	2	Título	1								
CP40MOD093	1	Capítulo	1								
CP40MOD093	2	Título	1								
CP40MOD094	1	Capítulo	1								
CP40MOD094	2	Título	1								
CP40MOD095	1	Capítulo	1								
CP40MOD095	2	Título	1								
CP40MOD096	1	Capítulo	1								
CP40MOD096	2	Título	1								
CP40MOD100	1	Capítulo	1								
CP40MOD100	2	Título	1								
CP40MOD110	1	Capítulo	1								
CP40MOD110	2	Título	1								
CP40MOD120	1	Capítulo	1								
CP40MOD120	2	Título	1								
CP40MOD130	1	Capítulo	1								
CP40MOD130	2	Título	1								
CP40MOD135	1	Capítulo	1								
CP40MOD135	2	Título	1								
CP40MOD140	1	Capítulo	1								
CP40MOD140	2	Título	1								
CP40MOD150	1	Capítulo	1								
CP40MOD150	2	Título	1								
CP40MOD160	1	Capítulo	1								
CP40MOD160	2	Título	1								
CP40MOD170	1	Capítulo	1								
CP40MOD170	2	Título	1								
CP40MOD180	1	Capítulo	1								
CP40MOD180	2	Título	1								
CP40MOD185	1	Capítulo	1								
CP40MOD185	2	Título	1								
CP40MOD190	1	Capítulo	1								
CP40MOD190	2	Título	1								
CP40MOD210	1	Capítulo	1								
CP40MOD210	2	Título	1								
CP40MOD230	1	Capítulo	1								
CP40MOD230	2	Título	1								
CP40MOD250	1	Capítulo	1								
CP40MOD250	2	Título	1								
CP40MOD270	1	Capítulo	1								
CP40MOD270	2	Título	1								
CP40MOD280	1	Capítulo	1								
CP40MOD280	2	Título	1								
CP40MOD290	1	Capítulo	1								
CP40MOD290	2	Título	1								
CP40MOD320	1	Capítulo	1								
CP40MOD320	2	Título	1								
CP40MOD330	1	Capítulo	1								
CP40MOD330	2	Título	1								
CP40MOD340	1	Capítulo	1								
CP40MOD340	2	Título	1								
CP40MOD350	1	Capítulo	1								
CP40MOD350	2	Título	1								
CP40MOD360	1	Capítulo	1								
CP40MOD360	2	Título	1								
CP40MOD370	1	Capítulo	1								
CP40MOD370	2	Título	1								
CP40MOD380	1	Capítulo	1								
CP40MOD380	2	Título	1								
CP40MOD385	1	Capítulo	1								
CP40MOD385	2	Título	1								
CP40MOD390	1	Capítulo	1								
CP40MOD390	2	Título	1								
CP40MOD420	1	Capítulo	1								
CP40MOD420	2	Título	1								
CP40MOD430	1	Capítulo	1								
CP40MOD430	2	Título	1								
CP40MOD490	1	Capítulo	1								
CP40MOD490	2	Título	1								
CP40MOD530	1	Capítulo	1								
CP40MOD530	2	Título	1								
CP40MOD600	1	Capítulo	1								
